Name:		TWs2
Optimal value:	-1
#Vehicles:	-1
Capacity:	150
Depot Node:	1
#Nodes:	140
#Edges:	106
#Arcs:	84
#Required N:	15
#Required E:	38
#Required A:	22

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N6	26	0	52	1744	1755
N28	6	0	12	619	643
N36	20	0	40	1420	1435
N33	13	0	26	707	726
N68	9	0	18	1100	1127
N71	6	0	12	854	876
N73	36	0	72	1104	1130
N82	16	0	32	1451	1476
N84	10	0	20	1037	1061
N87	4	0	8	1171	1177
N108	103	0	206	671	698
N110	7	0	14	1192	1214
N112	13	0	26	1975	2003
N113	12	0	24	870	876
N116	19	0	38	643	664

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	8	10	10	10	10	20	1652	1675
E2	11	12	25	25	25	25	50	844	860
E3	13	14	18	18	18	18	36	983	998
E4	20	22	10	10	10	10	20	1923	1950
E5	20	24	33	33	33	33	66	1417	1438
E6	28	29	5	5	5	5	10	650	662
E7	28	30	5	5	5	5	10	607	610
E8	30	32	28	28	28	28	56	1998	2004
E9	34	139	49	49	49	49	98	1380	1388
E10	36	38	25	25	25	25	50	1189	1218
E11	39	40	18	18	18	18	36	1242	1265
E12	37	43	16	16	16	16	32	1040	1066
E13	34	45	4	4	4	4	8	511	539
E14	48	49	10	10	10	10	20	1824	1834
E15	49	140	24	24	24	24	48	502	502
E16	55	56	4	4	4	4	8	781	810
E17	63	64	9	9	9	9	18	826	842
E18	64	65	15	15	15	15	30	1000	1022
E19	62	66	37	37	37	37	74	1220	1240
E20	71	72	9	9	9	9	18	1423	1433
E21	72	73	18	18	18	18	36	1500	1504
E22	78	79	12	12	12	12	24	960	980
E23	79	80	12	12	12	12	24	1930	1947
E24	85	86	20	20	20	20	40	1494	1521
E25	95	96	8	8	8	8	16	1920	1947
E26	96	97	17	17	17	17	34	636	662
E27	97	98	3	3	3	3	6	1425	1437
E28	102	104	21	21	21	21	42	1391	1399
E29	105	106	15	15	15	15	30	1115	1121
E30	106	107	28	28	28	28	56	700	708
E31	107	108	25	25	25	25	50	1290	1302
E32	107	112	13	13	13	13	26	1495	1506
E33	112	113	4	4	4	4	8	1599	1610
E34	1	116	18	18	18	18	36	1335	1342
E35	2	117	16	16	16	16	32	600	623
E36	124	126	11	11	11	11	22	484	499
E37	126	130	35	35	35	35	70	681	688
E38	11	27	50	50	50	50	100	1450	1479

EDGE	FROM N.	TO N.	T. COST	T. TIME
A15	77	46	16	16	16	16	32	1726	1735
A16	78	77	15	15	15	15	30	766	792
A17	82	84	13	13	13	13	26	1103	1130
A18	105	104	6	6	6	6	12	1657	1666
A19	107	110	8	8	8	8	16	565	568
A20	119	117	24	24	24	24	48	662	684
A21	114	118	58	58	58	58	116	519	547
A22	140	55	14	14	14	14	28	1676	1697

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	82	80	16	16
NrA2	87	86	4	4
NrA3	113	114	12	12
NrA4	17	15	13	13
NrA5	17	18	8	8
NrA6	18	19	6	6
NrA7	19	10	28	28
NrA8	20	21	58	58
NrA9	21	23	55	55
NrA10	23	24	56	56
NrA11	25	26	48	48
NrA12	23	26	20	20
NrA13	26	31	12	12
NrA14	35	34	59	59
NrA15	35	36	4	4
NrA16	41	47	99	99
NrA17	43	42	5	5
NrA18	42	47	4	4
NrA19	47	46	7	7
NrA20	48	50	8	8
NrA21	59	58	40	40
NrA22	45	60	15	15
NrA23	59	61	31	31
NrA24	65	56	30	30
NrA25	69	70	8	8
NrA26	72	74	15	15
NrA27	75	71	36	36
NrA28	76	77	10	10
NrA29	81	80	10	10
NrA30	88	86	33	33
NrA31	90	88	12	12
NrA32	90	91	7	7
NrA33	68	90	67	67
NrA34	91	66	69	69
NrA35	92	89	10	10
NrA36	84	92	29	29
NrA37	94	95	49	49
NrA38	99	96	10	10
NrA39	97	99	37	37
NrA40	99	100	33	33
NrA41	66	101	28	28
NrA42	103	102	42	42
NrA43	103	113	46	46
NrA44	114	115	36	36
NrA45	115	116	10	10
NrA46	117	118	49	49
NrA47	118	91	35	35
NrA48	118	121	17	17
NrA49	120	121	16	16
NrA50	121	122	8	8
NrA51	122	87	15	15
NrA52	124	123	29	29
NrA53	123	125	32	32
NrA54	127	129	11	11
NrA55	131	126	26	26
NrA56	132	131	5	5
NrA57	133	135	19	19
NrA58	135	134	14	14
NrA59	136	134	31	31
NrA60	138	131	47	47
NrA61	54	140	18	18
NrA62	58	70	11	11
